time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-26 00:00:00+00:00,9.0,6.0,18.0,6.0
2023-06-27 00:00:00+00:00,2.0,2.0,18.0,5.0
2023-06-28 00:00:00+00:00,2.0,2.0,52.0,4.0
2023-06-29 00:00:00+00:00,4.0,4.0,18.0,5.0
2023-06-30 00:00:00+00:00,2.0,2.0,9.0,3.0
2023-07-01 00:00:00+00:00,2.0,2.0,,
2023-07-02 00:00:00+00:00,2.0,2.0,23.0,5.0
2023-07-03 00:00:00+00:00,8.0,5.0,3.0,3.0
2023-07-04 00:00:00+00:00,2.0,2.0,14.0,5.0
2023-07-05 00:00:00+00:00,3.0,3.0,15.0,1.0
2023-07-06 00:00:00+00:00,5.0,4.0,1.0,1.0
2023-07-07 00:00:00+00:00,9.0,5.0,51.0,5.0
2023-07-08 00:00:00+00:00,2.0,2.0,,
2023-07-09 00:00:00+00:00,,,2.0,2.0
