time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,34,16,2,2
2026-05-29 00:00:00+00:00,25,13,7,6
2026-05-30 00:00:00+00:00,35,17,6,4
2026-05-31 00:00:00+00:00,33,17,2,2
2026-06-01 00:00:00+00:00,25,20,7,3
2026-06-02 00:00:00+00:00,28,16,4,2
2026-06-03 00:00:00+00:00,34,26,5,2
2026-06-04 00:00:00+00:00,24,15,9,4
2026-06-05 00:00:00+00:00,36,22,22,17
2026-06-06 00:00:00+00:00,43,25,8,3
2026-06-07 00:00:00+00:00,22,13,1,1
2026-06-08 00:00:00+00:00,24,10,13,12
2026-06-09 00:00:00+00:00,33,16,2,2
2026-06-10 00:00:00+00:00,46,24,10,5
