time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-19 00:00:00+00:00,8,6,24,16
2026-08-20 00:00:00+00:00,19,11,39,7
2026-08-21 00:00:00+00:00,45,4,8,3
2026-08-22 00:00:00+00:00,36,11,12,4
2026-08-23 00:00:00+00:00,4,3,7,2
2026-08-24 00:00:00+00:00,8,6,10,4
2026-08-25 00:00:00+00:00,14,10,10,5
2026-08-26 00:00:00+00:00,8,4,37,11
2026-08-27 00:00:00+00:00,17,8,24,8
2026-08-28 00:00:00+00:00,14,8,10,6
2026-08-29 00:00:00+00:00,6,5,10,4
2026-08-30 00:00:00+00:00,3,3,5,4
2026-08-31 00:00:00+00:00,7,7,12,5
2026-09-01 00:00:00+00:00,12,7,14,10
