time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,19,8,20,6
2026-02-28 00:00:00+00:00,18,8,15,4
2026-03-01 00:00:00+00:00,10,6,3,2
2026-03-02 00:00:00+00:00,25,16,10,8
2026-03-03 00:00:00+00:00,22,18,21,10
2026-03-04 00:00:00+00:00,21,11,47,11
2026-03-05 00:00:00+00:00,14,6,10,9
2026-03-06 00:00:00+00:00,14,6,12,7
2026-03-07 00:00:00+00:00,14,6,20,7
2026-03-08 00:00:00+00:00,10,6,6,4
2026-03-09 00:00:00+00:00,9,5,16,8
2026-03-10 00:00:00+00:00,4,3,23,9
2026-03-11 00:00:00+00:00,5,5,13,9
2026-03-12 00:00:00+00:00,10,6,37,10
