time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-07 00:00:00+00:00,9.0,5.0,51.0,5.0
2023-07-08 00:00:00+00:00,2.0,2.0,,
2023-07-09 00:00:00+00:00,2.0,2.0,3.0,3.0
2023-07-10 00:00:00+00:00,8.0,6.0,4.0,3.0
2023-07-11 00:00:00+00:00,21.0,9.0,34.0,9.0
2023-07-12 00:00:00+00:00,12.0,6.0,9.0,2.0
2023-07-13 00:00:00+00:00,2.0,2.0,4.0,2.0
2023-07-14 00:00:00+00:00,3.0,3.0,8.0,5.0
2023-07-15 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-07-16 00:00:00+00:00,2.0,2.0,,
2023-07-17 00:00:00+00:00,12.0,5.0,4.0,2.0
2023-07-18 00:00:00+00:00,3.0,3.0,8.0,3.0
2023-07-19 00:00:00+00:00,2.0,2.0,,
2023-07-20 00:00:00+00:00,,,13.0,4.0
