time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-28 00:00:00+00:00,17.0,9.0,55,18
2024-06-29 00:00:00+00:00,1.0,1.0,24,6
2024-06-30 00:00:00+00:00,1.0,1.0,27,6
2024-07-01 00:00:00+00:00,6.0,5.0,174,24
2024-07-02 00:00:00+00:00,9.0,4.0,63,20
2024-07-03 00:00:00+00:00,6.0,4.0,243,29
2024-07-04 00:00:00+00:00,3.0,2.0,48,18
2024-07-05 00:00:00+00:00,3.0,2.0,83,20
2024-07-06 00:00:00+00:00,5.0,5.0,12,6
2024-07-07 00:00:00+00:00,,,11,6
2024-07-08 00:00:00+00:00,4.0,3.0,112,20
2024-07-09 00:00:00+00:00,7.0,7.0,108,20
2024-07-10 00:00:00+00:00,1.0,1.0,96,24
2024-07-11 00:00:00+00:00,1.0,1.0,80,21
